name	id	url	picture	biography	organization	position
Tomas Caspers	2108		http://13.re-publica.de/files/pictures/picture-2108.jpg	Tomas Caspers baut Websites, seitdem es Websites gibt. Er denkt Projekte bis zu Ende und berät, konzipiert gestaltet für Industrie, NGOs und Behörden, schreibt Bücher und Artikel, hält Vorträge und liebt es, sein Wissen aus unzähligen erfolgreichen Projekten zu teilen.	Aktion Mensch	
Stefan Domke	886		http://13.re-publica.de/files/pictures/picture-886.jpg	Jahrgang 1971, gebürtiger Ostwestfale, lebt in Köln; Freier Autor und Blogger bei WDR.de, dem Internetangebot des Westdeutschen Rundfunks. Projektentwicklung, Konzeption und Umsetzung multimedialer öffentlich-rechtlicher Internet-Projekte (u.a. interaktive 360°-Rundgänge). Idee und Umsetzung von: "Digit - Das Archiv des analogen Alltags." (Plattform für analoges Film- und Fotomaterial aus privaten Beständen)	WDR Internetredaktion	Freier Autor (Projektentwicklung, Konzeption, Umsetzung)
David Ohrndorf	893		http://13.re-publica.de/files/pictures/picture-893.jpg	*1976, Diplom-Kaufmann, WDR-Volontariat, Autor und Journalist für verschiedene Redaktionen des WDR.		Freier Journalist und Autor der WDR-Onlineredaktion
Julia Kloiber	434		http://13.re-publica.de/files/pictures/picture-434.jpg	Julia Kloiber arbeitet seit Februar 2011 als Projektleiterin im Bereich Civic Apps and Open Data für die Open Knowledge Foundation Deutschland. Im letzten Jahr hat sie unter anderem den Civic-Incubator Stadt Land (http://stadtlandcode.de/) und den Hackday Apps and the City (http://appsandthecity.net/) umgesetzt. Neben ihrer berufliche Tätigkeit ist Sie ehrenamtlich im Digitale Gesellschaft e.V. tätig.	Open Knowledge Foundation	Project Lead
Stefan Wehrmeyer	547		http://13.re-publica.de/files/pictures/picture-547.jpg		Open Knowledge Foundation Deutschland	Project Lead / Data Wrangler
Sarah Pust	195		http://13.re-publica.de/files/pictures/picture-195.jpg	Sarah Pust ist seit 1998 im Medienbereich tätig. In Stationen bei Print und Online (Zeitschriften, Zeitungen und ihre Online-Magazine), Radio, Fernsehen, Presseagenturen und E-Learning arbeitete sie in Hamburg, Berlin, Nürnberg, Bamberg und Amsterdam. Nach Festanstellungen bei der Bertelsmann AG/ scoyo.de und dem Egmont Ehapa Verlag arbeitet sie frei und selbstständig als Journalistin, Texterin und Beraterin. Schwerpunkt: Konzeption und Text digital.	Digital Media Women	Media, Text
Christine Feil	2022		http://13.re-publica.de/files/pictures/picture-2022.jpg	Studium der Soziologie LMU München, Promotion JWG-Universität Frankfurt/ Main. Wissenschaftliche Mitarbeiterin im Deutschen Jugendinstitut, Abteilung Kinder und Kinderbetreuung. Arbeitsschwerpunkte: Kindheitsforschung, Medienforschung und Medienpädagogik, insbesondere Internetnutzung von Kindern.	Deutsches Jugendinstitut e.V. München	Wissenschaftliche Referentin
Sabine Frank	2031		http://13.re-publica.de/files/pictures/picture-2031.jpg	Sabine Frank ist Volljuristin und leitet seit Januar 2012 den Bereich Jugendschutz und Medienkompetenz der Google Germany GmbH. Zuvor war sie mehr als 10 Jahre hauptamtliche Geschäftsführerin des Vereins „Freiwillige Selbstkontrolle Multimedia Diensteanbieter e.V.“ (FSM). In diesem Rahmen hat sie eine Reihe von Ehrenämter bekleidet, wie die zweite Geschäftsführung des fragFINN e.V. oder das Amt des Schatzmeisters bei dem Verein “Deutschland sicher im Netz”.	Google	Leiterin Jugendschutz und Medienkompetenz
Christiane Baumann	2247		http://13.re-publica.de/files/pictures/picture-2247.jpg	Nach dem Abitur in Frankreich, Studium der Germanistik und der politischen Wissenschaft an der FU Berlin. Freiberufliche Tätigkeit als Literaturübersetzerin und Rundfunkautorin. Leitete diverse Projekte im deutsch-französischen Kultur- und Jugendaustausch. Initiierte 2002 "Grand méchant loup | Böser Wolf", Kinderreporter-Website mit grenzübergreifendem, deutsch-französisch-europäischem Charakter, die seit 2012 polnischsprachige Projekte einbezieht. Die Website ist eEducation Berlin Masterplan-Projekt am Französischen Gymnasium und Mitglied beim Kindernetzwerk Seitenstark. 2009-2010 gehörte sie zu den von "Ein Netz für Kinder" geförderten Kinderwebsites.	Deutsch-französische Kinderwebsite Grand méchant loup | Böser Wolf	Projektleitung
Verena Delius	2216		http://13.re-publica.de/files/pictures/picture-2216.jpg	Verena Delius ist seit 2010 Geschäftsführerin von der goodbeans GmbH, welche die virtuelle Welt Panfu betreibt sowie mobile Apps für Kinder und Familien entwickelt. Zuvor war sie bei Bertelsmann als Head of Sales für die E-Learning-Plattform scoyo verantwortlich, Regional Manager DACH bei be2.com und war sechs Jahre in der Finanzbranche tätig. Sie hat Wirtschaftswissenschaften an der Universität St. Gallen studiert.	goodbeans GmbH	Geschäftsführerin
Anna Lena Schiller	274		http://13.re-publica.de/files/pictures/picture-274.jpg	Graphic Recording, Sketchnotes, Datenvisualisierung.		Head of Visual Sensemaking
Ralf Appelt	513		http://13.re-publica.de/files/pictures/picture-513.jpg	Ralf Appelt ist seit 2007 wissenschaftlicher Mitarbeiter und Leiter des MultiMedia-Studios der Fakultät für Erziehungswissenschaft, Psychologie und Bewegungswissenschaft an der Universität Hamburg. Er hat in Hamburg Erziehungswissenschaft mit den Schwerpunkten Erwachsenenbildung, Personalentwicklung, sowie Medien und Bildung studiert. Der Schwerpunkt in seinem MA Studiengang ePedagogy Design – Visual Knowledge Building in Hamburg und Helsinki lag in der Nutzung von social Software im Bildungskontext. Seine Forschungsinteressen sind mobile learning und die Unterstützung von Bildungsprozessen mit social Software. Visuelle Gestaltung interessiert ihn nicht nur im digitalen Bereich, sondern auch im Zusammenhang mit Moderation und besonders beim Erstellen von visuellen Notizen - so genannten Sketchnotes.	Universität Hamburg | Fakultät EPB	Leiter *mms
Gunter Dueck	1103		http://13.re-publica.de/files/pictures/picture-1103.jpg	Gunter Dueck, Jahrgang 1951, lebt in Waldhilsbach bei Heidelberg, ist verheiratet und hat zwei erwachsene Kinder. Nach einer Karriere als Mathematikprofessor wechselte er 1987 zur IBM, wo er u.a. für den Aufbau neuer Geschäftsfelder (Business Intelligence, Cloud Computing) und für Cultural Change tätig war. Drei Jahre durfte er den zeitlich befristeten Titel „Master Inventor der IBM“ tragen. Zuletzt, bei seinem Wechsel in den Unruhestand, war er CTO (Chief Technology Officer) der IBM Deutschland und IBM Distinguished Engineer. Seit 2011 ist er freischaffend als Schriftsteller, Business-Angel und Speaker tätig. Gunter Dueck ist IEEE Fellow und korrespondierendes Mitglied der Akademie der Wissen-schaften zu Göttingen. Die Computerwoche zählte ihn 2011 zu den 100 einflussreichsten Persönlichkeiten der IT/Kommunikationsbranche in Deutschland. Dueck ist Autor vieler Best-seller, zuletzt „Professionelle Intelligenz“ und „Das Neue und seine Feinde“.	Omnisophie	CEO
Jörg Braun	595		http://13.re-publica.de/files/pictures/picture-595.jpg	Nach einen Literaturwissenschaftsstudium zunächst im Wissenschaftsmanagement tätig und seit 2010 netzpolitischer Mitarbeiter der Bundestagsabgeordneten Petra Sitte. Mit Bloggen angefangen 2006, Twitterer und re:publica-Teilnehmer seit 2007, Twitterleser und Vater seit 2008, Podcaster seit 2009. Meine Hobbies sind Kochen und Lesen.		
Sabria David	1995		http://13.re-publica.de/files/pictures/picture-1995.jpg	Sabria David ist Mitgründerin und Leiterin des Slow Media Instituts, das zu den Auswirkungen und Potentialen des digitalen Wandels auf Gesellschaft, Arbeit und Medien forscht und berät. Für den Bereich des betrieblichen Gesundheitsmanagement entwickelt sie ein Modell zum digitalen Arbeitsschutz aus medienwissenschaftlicher Perspektive. Mit dem Soziologen Benedikt Köhler und dem Marktforscher Jörg Blumtritt verfasste sie 2010 das Slow Media Manifest, das in zahlreiche Sprachen übersetzt wurde, sowie 2012 die Declaration of Liquid Culture. Sie studierte Germanistik und Linguistik, forschte zu Textgenese und gründete im Jahr 2000 die Kommunikations-Agentur TEXT-RAUM, die für Unternehmen Markennamen, neue Erzählformen und Digitalstrategien entwickelt.	Slow Media Institut	Founder
Yoani Sánchez	2117		http://13.re-publica.de/files/pictures/picture-2117.jpg	Six years ago, Yoani Sánchez started "Generación Y," the first independent blog in Cuba. Her critical look at daily life and politics on the socialist island earned the blogger international attention and she became a prominent voice of Cuban society that official media refused to cover. The 37-year-old has been honored with a number of awards, including Deutsche Welle's Bobs award. Cuban authorities refused Yoani Sánchez the right to leave the country 20 times before she was permitted to travel abroad in 2013. Her trip through Latin America, Europe and North America brings her to Berlin in May for re:publica.	Generación Y	Founder and blogger
Ben Scott	1450		http://13.re-publica.de/files/pictures/picture-1450.jpg	Ben Scott is Senior Adviser to the Open Technology Institute at the New America Foundation in Washington DC and a Visiting Fellow at the Stiftung Neue Verantwortung in Berlin. Previously, he was Policy Adviser for Innovation at the US Department of State where he worked at the intersection of technology and foreign policy. In a small team of advisers to Secretary of State Hillary Clinton, he worked to help steward the 21'st Century Statecraft agenda with a focus on technology policy, social media and development. Prior to joining the State Department, for six years he led the Washington office for Free Press, the largest non-profit organization in the US dealing exclusively with media and communications policy. Before joining Free Press, he worked as a legislative aide handling telecommunications policy for then-Rep. Bernie Sanders (I-Vt.) in the U.S. House of Representatives. He holds a PhD in communications from the University of Illinois.	Stiftung Neue Verantwortung	Visiting Fellow
Tayo Akinyemi	1659		http://13.re-publica.de/files/pictures/picture-1659.jpg	Tayo is an entrepreneurship enthusiast who has worked for several young ventures in the US, Africa, and Latin America. Tayo also has experience in the development and nonprofit sectors. She began her career at an NGO dedicated to advancing women in corporate business. Since then she has focused, with varying degrees of success, on understanding how businesses are built and sustained. From developing a community-inclusive business strategy for a greenfield sugarcane ethanol venture in Mozambique to executing the US entry strategy for a digital marketing company in Brazil, Tayo has also explored the social impact of commercial business. To that end, Tayo wrote for NextBillion, a blog dedicated to exploring development and enterprise, for nearly two years and is a contributor to Tekedia, a blog focused on African technology and innovation. Tayo has an MBA in Sustainable Global Enterprise from Cornell University, and a BA in Sociology from Princeton University.	AfriLabs	Director
William Zimmerman	1812		http://13.re-publica.de/files/pictures/picture-1812.jpg	Bill Zimmerman is a successful tech entrepreneur with roots in the Pacific Northwest. Formerly a software engineer at Microsoft, he is the founder of Cameroon’s leading technology incubator, ActivSpaces. He has worked side-by-side with entrepreneurs and played an instrumental role in helping build some of Cameroon’s most promising startups and served as an advisor to founders across the continent. Bill is a founding member of AfriLabs, a pan-African network technology hubs and is a driving force behind VC4Africa, a peer-to-peer network for connecting entrepreneurs with the resources, information and capital needed to grow and scale their business.	AfriLabs	Board Member
Selin Carrasco Vargas	2163			Knowledge Society researcher. Born at Chile, has studied Computer Sciences and Bussiness. Has live at Spain, France, Chile, Argentina. Has created different innovation companies, in Spain and Chile. Actually SC teaches about information Society, Liquid Society at University UMCE, in Chile and works in innovation area at La Punta Technological University at Argentina. Linkedin:selincarrasco; tweeter:selincarrasco; scoop:selincarrasco	La Punta Tech University	Innovation Manager
Sam Gichuru	1652		http://13.re-publica.de/files/pictures/picture-1652.jpg		Nailab	CEO
Rene Parker	1795		http://13.re-publica.de/files/pictures/picture-1795.jpg	René Parker is the Director of RLabs an International Living Lab movement with a strong focus on Community-driven Innovation and Social Change. RLabs currently have activities in Africa, United Kingdom, Europe, Asia and South America. She is actively involved in the RLabs Academy and responsible for many of the training programmes with a strong focus on Innovation and Creativity as well as Social and New Media. She is also a sought after speaker with a strong focus on empowering women through technology. This passion led her to be the co-founder of a South African award winning Science and Technology blog "She's The Geek" that provides training and consulting on anything technology related. She loves exploring new gadgets and is a devoted Apple fan. Rene is also an inaugural board member of the Living Labs in Southern Africa (LLiSA) network where she fulfills the portfolio of Capacity Building and Community Development as well as Communications. Four things her RLabs team in Cape Town say about her: passionate, kind, motivated and patient.	RLabs - Reconstructed Living Lab	Managing Director
Wole Odetayo	1968			The doctor turned enterprise developer admits that the connection between Medicine & Business Management fields is "Systematic Review". Born and raised in different cities in the southern hemisphere of Nigeria, Wole grew up contributing in different capacities to the then thriving family business. As a student, he won his university's approval to run her bookshop. Wole also launched a thriving multi-location telecom services business on campus which he later exited to focus on his stock market investments for want of studytime. All these on-going business experiences backed with an unending interest in business development informed his decision to settle for building 3rd party enterprises for a living through tech-venture incubation. Wole, a co-founder of Wennovation Hub, is a national gold medalist in chess and scrabble. He is also a devout Christian.	LoftyInc Allied Partners Limited	Managing Partner
Adetunji Eleso	1874		http://13.re-publica.de/files/pictures/picture-1874.jpg	Tunji leads on Business Advisory at Co-creation Hub Nigeria (a social innovation centre) with responsibility for providing pre-incubation support to social technology ventures. He manages a portfolio of twenty (20) ventures at different stages of the product development cycle. He is an experienced consultant with background in strategy and business advisory.	Co-creation Hub Nigeria	Director, Business Advisory
Michael Szymanski	2048		http://13.re-publica.de/files/pictures/picture-2048.jpg	Michael Szymanski is the Director of Business Development for the MEST Incubator and manages the MEST seed fund in Accra, Ghana (www.meltwater.org). MEST offers a three-phase entrepreneurial program designed to foster the growth of globally successful software companies from Africa. Since 2008 MEST has trained over 100 tech entrepreneurs and has invested over $1.5M in 13 tech start-ups in Accra. Prior to MEST, Michael worked with the Marquette Golden Angel investment group, where he analyzed investment opportunities and worked closely on strategy development with growing companies. Michael has focused his career in emerging markets, working to grow early stage companies, attract investment, and catalyze economic development. He earned an MBA from the University of Oxford and a BA from St. Norbert College.	Meltwater Entrepreneurial School of Technology	Director, Business Development, MEST Incubator
Silke Horn	2099		http://13.re-publica.de/files/pictures/picture-2099.jpg	Silke Horn, IT-Projektmanagerin und Inhaberin von Schmetterlong, einem jungen Dienstleistungsunternehmen für barrierefreie Kommunikation und integrativer Informationstechnologie. Sie legt besonderen Wert darauf, dass die von Ihrem Unternehmen erarbeiteten Lösungen dem Nutzer optimal dienen. Dies gilt besonders bei der Erstellung bedienfreundlicher Software, die es jedem Anwender ermöglicht, ein Höchstmaß an Unabhängigkeit und Lebensqualität zu erlangen. Ein Schwerpunkt ihrer Tätigkeit ist das Management von IT-Projekten, die die Barrierefreiheit unterstützen. Die Firma Schmetterlong hat eine iPhone App "UKsimpel" für unterstützte Kommunikation entwickelt. https://itunes.apple.com/de/app/uksimpel/id571313826?mt=8	Schmetterlong	Inhaberin, Geschäftsführung
Raul Krauthausen	1344		http://13.re-publica.de/files/pictures/picture-1344.jpg	Raul Krauthausen ist in Berlin aufgewachsen und hat sich schon früh dazu entschieden, in seinem Leben in der Welt etwas zu verändern. Raul war an der Universität der Künste eingeschrieben, studierte Design Thinking, entwickelte eine Kampagne für den »Alternativen Nobel Preis« und moderierte eine Radioshow, wo Menschen mit Problemen anrufen konnten. So wurde er selbst mit Armut, Missbrauch und Einsamkeit konfroniert, wie man es viel in den Nischen unserer Gesellschaft findet. Von diesen sozialen Themen beeinflusst kam Raul mit Freunden zusammen auf die Idee, die SOZIALHELDEN ins Leben zu rufen. Die SOZIALHELDEN sind ein soziales Unternehmen, bestehend aus einer Gruppe außergewöhnlicher Umdenker, welches bis heute schon viele Preise gewonnen hat. Raul ist einer dieser kreativen Köpfe. Die SOZIALHELDEN verzeichnen bereits eine große Erfolgsgeschichte. Zu diesen nachhaltigen und innovativen Projekten zählen »Pfandtastisch helfen!«, eine in Deutschland bekannte Pfandspenden-Aktion für soziale Projekte sowie »Deutschland sucht den SuperZivi«, eine Radio Casting Show zur Suche des besten Zivis. Momentan konzentriert sich Raul voll und ganz auf Wheelmap.org und den Aufbau einer Community um Wheelmap.org herum sowie Leidmedien.de.	SOZIALHELDEN e.V.	Vorstand
Barbara Wolterstädt	2100		http://13.re-publica.de/files/pictures/picture-2100.jpg	Dipl.-Ing. für Informationselektronik und Dokumentarin, Rentnerin mit Minijob, Mitglied der SRG (Senior Research Group) am ZTG (Zentrum für Technik und Gesellschaft) der TU-Berlin, einer Gruppe von Senioren, die sich als Mittler zwischen Unternehmen und Nutzern versteht und mit Neugierde, Spaß und Kreativität ihre Erfahrungen in unterschiedlichen Projekten einbringt.		Dipl.-Ing. für Informationselektronik und Dokumentarin, Rentnerin mit Minijob, Mitglied der SRG (Senior Research Group)
Tina Gadow	2115		http://13.re-publica.de/files/pictures/picture-2115.jpg	Tina Gadow studierte Theaterwissenschaft und kulturelle Kommunikation in Paris und Berlin. Nach dem Studium arbeitete sie zunächst im Hauptstadtbüro des Goethe-Instituts und war anschließend vier Jahre lang für den Schwerpunkt ›Kultur und Entwicklung‹ im Büro Berlin der GTZ zuständig. Kern ihrer Arbeit war immer die Auseinandersetzung mit gesellschaftlichen und (kultur-) politischen Themen im Rahmen von Wortveranstaltungen. Der Wunsch danach, mehr Kreativität und Vergnügen in diese Begegnungen zu bringen, dabei unterschiedliche Ansätze, Entwürfe und Perspektiven zusammen zu führen und mit Akteuren aus Zivilgesellschaft, Politik und Kultur gleichermaßen eng zusammen zu arbeiten führte sie in die Selbständigkeit: unter dem Motto Vielfalt gestalten gründete sie 2008 ihr eigenes Büro in Berlin. Seitdem konzipiert, berät, begleitet und moderiert sie internationale und lokale Konferenzen, Workshops, Salons, Netzwerktreffen. 2010 gründete sie das Netzwerk der „kongress tanzt“ und koordiniert dessen Aktivitäten. www.tinagadow.de; www.der-kongress-tanzt.net		
Andriankoto Harinjaka Ratozamanana	1646		http://13.re-publica.de/files/pictures/picture-1646.jpg	Harinjaka Andriankoto RATOZAMANANA is a New Media Strategist, Social Entrepreneur and Pioneer in New Media in Madagascar. He is co-founder and CEO of Habaka -Madagascar Innovation Hub, a nonprofit organisation which lead Madagascar’s youth in Web and Mobile Technology. Habaka's vision emphasizes new media tools and their use in solving issues of concern to all in Madagascar and its continent, including the most marginalized and impoverished. Ratozamanana is an international consultant who understands how the web can be applied to the purposes of the development of his contient. For example, he was member of ATPS (African Technology Policy Network) a multi-disciplinary network of researchers, practitioners and policy makers that promotes science, technology and innovation (STI) for African Development. Ratozamanana came into international fame after being selected by TED (www.ted.com), which stands for Technology Entertainment and Design as inaugural fellow. TED is often referred to as “the Davos of ideas and communication.” As a TED Fellow in Arusha, Tanzania in 2007, and also TED Fellow in Long Beach California in 2009, Andriankoto Harinjaka Ratozamanana was recognized as an outstanding young world leader who demonstrated achievement and potential, especially in improving the lives of young people in his local communities.	Habaka - Madagascar innovation Hub	CEO / co-founder
Michael Kreil	545		http://13.re-publica.de/files/pictures/picture-545.jpg	Michael Kreil ist selbständiger „Data Scientist“. Branchenübergreifend entwickelt er Konzepte und Anwendungen, die immer wieder mit Preisen ausgezeichnet werden. Seit September 2011 leitet er die technische Entwicklung bei OpenDataCity.	OpenDataCity	Software Developer
Lukonga Lindunda	1420		http://13.re-publica.de/files/pictures/picture-1420.jpg	Lukonga Lindunda is Co-founder and Director of BongoHive, Lusaka’s Technology and Innovation Hub. BongoHive, based in Lusaka - Zambia, was set up in May 2011 and provides a place for the local tech community to meet, swap experience, and attend training, networking and hackathon events, in an effort to empower the local tech community to find local solutions to local problems and create startups. Lukonga worked as Programme Advisor - ICT for VVOB (www.vvob.be), working with colleges and schools in building sustainable and affordable ICT infrastructure and support systems using open- and closed- source solutions. Lukonga also worked as ICT and Communications Coordinator at QUality Education Services Through Technology (QUESTT), a USAID-funded project in the Education sector in Zambia. At QUESTT, Lukonga worked on the Interactive Radio Instruction project as Technical Advisor. He designed a system incorporating solar power to recharge portable media players loaded with educational materials in remote areas. Lukonga is also co-founder of Mobile Monday Lusaka and is involved in initiating and supporting technology user groups some of which are Google Technology User Group, Zambia Linux User Group, Asikana Network (focusing on young women in ICT), and many others.	BongoHive	Co-founder and Director
Brian Ndyaguma	1763		http://13.re-publica.de/files/pictures/picture-1763.jpg	I am passionate entrepreneur who has ventured into the technology field to innovate effective and efficient solutions for our current business crisis in both the tech and business environment. I am currently working with Hive Colab to support the Ugandan tech community successfully create cutting edge solutions for our tech and business challenges.	Hive Colab Uganda	Operations Manager
Christoph Meinel	1491		http://13.re-publica.de/files/pictures/picture-1491.jpg	Christoph Meinel ist Geschäftsführer, wissenschaftlicher Leiter und Direktor des Hasso-Plattner-Instituts für Softwaresystemtechnik (HPI). Christoph Meinel ist ordentlicher Professor (C4) für Informatik am HPI und an der Universität Potsdam und hat den Lehrstuhl für Internet-Technologien und -Systeme inne. Seine besonderen Forschungsinteressen liegen im Bereich Internet-Technologien und Informationssicherheit, Web 3.0, Semantic-, Social-, Service-Web, sowie auf dem Gebiet des Designs innovativer Internetanwendungen, vor allem in den Bereichen e-Learning und Telemedizin. Daneben ist er wissenschaftlich aktiv auf dem Gebiet der Innovationsforschung rund um die Innovationsmethode des Design Thinking. Christoph Meinel lehrt in den Bachelor- und Masterstudiengängen IT-Systems Engineering, betreut zahlreiche Doktoranden und ist Teacher an der HPI School of Design Thinking. Zudem ist er Gastprofessor an den Fakultä-ten für Informatik der Technischen Universität Peking und der Shanghai Universität und Research Fellow am interdisziplinären Zentrum (SnT) der Universität Luxemburg.	Hasso-Plattner-Institut für Softwaresystemtechnik	Institutsdirektor
Nele Heise	463		http://13.re-publica.de/files/pictures/picture-463.jpg	Ich habe mal Kommunikations- und Geschichtswissenschaft studiert und mich u.a. mit ethischem Handeln im Netz, muslimischen Weblogs oder World of Warcraft beschäftigt. Seit 2011 arbeite ich als wissenschaftliche Mitarbeiterin für das Hans-Bredow-Institut in Hamburg an einem Projekt zu Publikumsbeteiligung im Journalismus. Nebenbei promoviere ich an der Graduate School Media and Communication (GMaC) und untersuche im Rahmen meines Promotionsprojekts "Radio-Aktivität" die Rolle technischer Strukturen und Kompetenzen für verschiedene Formen von partizipativer Radio-Kommunikation - vom Höreranruf im klassischen Radio, über das Senden im offenen Kanal, das Betreiben eines eigenen Webradios oder Podcasts bis hin zum Amateurfunk. Neben popkulturellem Allerlei (auch privat) interessieren mich die Bereiche Medien- und Technikaneignung, Prozesse und Praktiken von (Online-)Partizipation, Social Web-Nutzung, HCI und Techniksoziologie, (Forschungs-)Ethik des Internet sowie Mediatisierung (ausschließlich beruflich). Darüber hinaus: keine Berührungsängste, offen für neue Impulse und Zugänge.	Hans-Bredow-Institut für Medienforschung, Hamburg	Junior Researcher
